"","lemma","Polarity","Emotion_Category","Personality"
"739","悲痛欲絕","N","2",NA
"740","悲痛之餘","N","2",NA
"741","悲痛之餘","N","3",NA
"742","悲慟","N","2",NA
"743","悲喜","C","",NA
"744","悲喜","P",NA,NA
"745","悲喜交集","N","2",NA
"746","悲喜交集","P",NA,NA
"747","悲辛","N","2",NA
"748","悲鬱","N","2",NA
"749","悲壯","N","2",NA
"750","北鼻","P","1",NA
"751","北爛","N","4",NA
"752","北七","N","4",NA
"753","貝戈戈","","4",NA
"754","背包袱","N","",NA
"755","背部涼涼","N","3",NA
"756","背道而馳","N","4",4
"757","背地","N","4",4
"758","背地指使","N","",NA
"759","背地指使","N","",NA
"760","背後","N","",NA
"761","背悔","N","",NA
"762","背脊一陣發麻","N","3",NA
"763","背脊一陣涼","","4",NA
"764","背脊一陣涼","N","3",NA
"765","背離","N","4",4
"766","背離承諾","N","4",NA
"767","背離承諾","N","2",NA
"768","背叛","N","4",NA
"769","背棄","N","4",4
"770","背上一堆罵名","","4",NA
"771","背時","N","2",NA
"772","背水一戰","N","3",NA
"773","背信","N","4",4
"774","背信棄義","N","4",4
"775","背興","N","2",NA
"776","背約","N","4",4
"777","背運","N","2",NA
"778","倍感","0","",NA
"779","悖逆","N","4",4
"780","被","N","4",NA
"781","被","N","2,3",NA
"782","被霸凌","","4",NA
"783","被霸凌","N","3",NA
"784","被爆","N","5",NA
"785","被爆","N","5",NA
"786","被吵","","4",NA
"787","被炒","N","",NA
"788","被車撞死","N","2",NA
"789","被車撞死","N","3",NA
"790","被充公","N","2",NA
"791","被充公","N","3",NA
"792","被打","N","3",NA
"793","被打槍","N","",NA
"794","被刀劃傷","N","3",NA
"795","被電","N","3",NA
"796","被動","N","4",2
"797","被翻過","N","3",NA
"798","被煩","","4",NA
"799","被幹走","","4",NA
"800","被跟","N","",NA
"801","被攻擊","N","3",NA
"802","被害經過","","4",NA
"803","被害經過","N","3",NA
"804","被害人","N","",NA
"805","被劃傷","","4",NA
"806","被劃傷","N","3",NA
"807","被激","","4",NA
"808","被拒絕","N","2",NA
"809","被開單","","4",NA
"810","被看穿","N","",NA
"811","被控","N","",NA
"812","被控","N","",NA
"813","被誇","P","",NA
"814","被老師瞪","N","3",NA
"815","被擄","","4",NA
"816","被擄","N","3",NA
"817","被罵","N","",NA
"818","被批","N","4",NA
"819","被批","N","2",NA
"820","被騙","","4",NA
"821","被騙太多次","","4",NA
"822","被迫","N","",NA
"823","被欺負","N","2",NA
"824","被欺負","N","3",NA
"825","被嗆","N","",NA
"826","被搶先一步","","4",NA
"827","被人","N","",NA
"828","被人發現","N","3",NA
"829","被刪","N","",NA
"830","被刪除","N","4",NA
"831","被刪除","N","2",NA
"832","被傷過","N","2",NA
"833","被說","N","",NA
"834","被碎念了","N","",NA
"835","被掏光","N","2",NA
"836","被掏空","N","2",NA
"837","被偷","N","4",NA
"838","被偷","N","2",NA
"839","被吞","","4",NA
"840","被危害","N","3",NA
"841","被襲擊","N","3",NA
"842","被嚇到","N","",NA
"843","被嚇到","N","3",NA
"844","被壓","N","",NA
"845","被詐騙","","4",NA
"846","被質疑","","4",NA
"847","被抓","N","",NA
"848","被抓到","N","",NA
"849","備感","0","",NA
"850","備受威脅","N","3",NA
"851","備受爭議","N","",NA
"852","備受爭議","N","",NA
"853","憊","N","2",NA
"854","唄","P","1",NA
"855","奔波","N","2",NA
"856","奔回","N","3",NA
"857","奔忙","N","2",NA
"858","奔命","N","2",NA
"859","奔走","N","2",NA
"860","本","N","2",NA
"861","本","N","3",NA
"862","本分","P","1",1
"863","本來還好好的","0","5",NA
"864","本來還好好的","N","5",NA
"865","本來就不好","N","",NA
"866","本來就不好","N","",NA
"867","本身也有責任","N","",NA
"868","笨","N","4",NA
"869","笨","N","",NA
"870","笨笨的","N","",NA
"871","笨蛋","N","4",NA
"872","笨鬼","","4",NA
"873","笨傻","N","4",4
"874","笨手笨腳","N","4",NA
"875","笨賊","N","",NA
"876","笨拙","N","4",NA
"877","崩╰(〒皿〒)╯潰","N","4",NA
"878","崩跌","N","",NA
"879","崩跌","N","",NA
"880","崩潰","N","2",NA
"881","崩潰","N","2,3",NA
"882","繃緊","N","4",NA
"883","繃臉","N","4",NA
"884","屄","N","4",NA
"885","逼","N","4",4
"886","逼得","N","3",NA
"887","逼近","","4",NA
"888","逼近","N","3",NA
"889","逼迫","N","4",4
"890","逼使","N","",NA
"891","逼使","N","",NA
"892","逼退","N","2",NA
"893","逼退","N","4",NA
"894","逼我","","4",NA
"895","逼著","N","",NA
"896","逼著","N","",NA
"897","逼自己","N","",NA
"898","鼻開始酸了起來","N","2",NA
"899","鼻酸","N","2",NA
"900","鼻涕滿溢","N","",NA
"901","比較暗","N","",NA
"902","比較不清楚","N","",NA
"903","比較恐怖","N","3",NA
"904","比較忙","N","",NA
"905","比較容易","P","1",NA
"906","比死還要安+靜","N","",NA
"907","鄙","N","4",4
"908","鄙薄","N","4",4
"909","鄙吝","N","4",4
"910","鄙陋","N","4",4
"911","鄙棄","N","4",4
"912","鄙視","N","4",4
"913","鄙夷","N","4",4
"914","必備","P","",NA
"915","必吃","P","",NA
"916","必吃「景點」","P","",NA
"917","庇護","P","",NA
"918","庇護住所","N","",NA
"919","庇蔭","N","4",4
"920","庇佑","P","",NA
"921","畢恭畢敬","P","3",NA
"922","畢竟","N","",NA
"923","畢業旅行","P","1",NA
"924","畢業旅行","P","1",NA
"925","敝帚千金","0","",NA
"926","敝帚自珍","0","",NA
"927","閉口","N","4",NA
"928","閉口無言","N","2",NA
"929","閉上嘴","","2,4",NA
"930","閉嘴","","4",NA
"931","閉嘴","N","3",NA
"932","弊案","N","4",NA
"933","弊案","N","2",NA
"934","壁紙","N","",NA
"935","避諱","N","",NA
"936","避開","N","",NA
"937","避免","N","3",NA
"938","避免","N","",NA
"939","避免","P",NA,NA
